PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
2392;Auditorio al aire libre Berlín;Su mantenimiento es competencia de la Junta de Distrito de Chamartín.  Actividades: espectáculos variados durante los meses de verano.;;;Metro: Concha Espina (línea 9).  Bus: 16, 29, 52.  Bicimad: Estación 197 (avenida de Concha Espina, 34).  Aparcamiento: Museo de la Ciudad (51) calle Príncipe de Vergara 152 y calle Pechuán.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=34137b503a71c010VgnVCM1000000b205a0aRCRD;SAN ERNESTO;CALLE;V;10;;;;;MADRID;MADRID;28002;3;CIUDAD JARDIN;5;CHAMARTIN;442714;4477836;40.449.208.447.370.100;-36.755.539.136.331.800;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
10290803;Auditorio al Aire Libre Recinto Ferial Vicálvaro;;;;Metro: Puerta de Arganda (Línea 9).  Cercanías RENFE: Vicálvaro (Líneas C2, C7, C8 y Regional).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=883ba0701d0da510VgnVCM1000001d4a900aRCRD;POLIDEPORTIVO;PASEO;V;142;;;;;MADRID;MADRID;28032;1;CASCO H.VICALVARO;19;VICALVARO;449366;4473005;4.040.612.285.515.840;-35.967.208.460.494.600;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
122296;Auditorio al aire libre. Carlos Jiménez de Parga;Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades : espectáculos variados durante los meses de verano.  Espacio abierto, acceso directo sin vallado.;;;Metro: Miguel Hernández (línea 1);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d03cbf06c81c010VgnVCM1000000b205a0aRCRD;RAFAEL ALBERTI;AVENIDA;V;13;;;;;MADRID;MADRID;28038;4;PALOMERAS SURESTE;13;PUENTE DE VALLECAS;445830;4471232;40.389.928.882.222.200;-36.382.448.554.479.900;915 887 307;;cultupvallecas@madrid.es;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
2395;Auditorio al aire libre. Centro Cultural el Pozo;Su mantenimiento es competencia de la Junta de Puente de Vallecas.;;Actividades: espectáculos variados durante los meses de verano. Espacio con vallado perimetral y puerta de acceso.;Cercanías Renfe: El Pozo (líneas C2, C7 y Regional).;;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cd27b503a71c010VgnVCM1000000b205a0aRCRD;ANDALUCES DEL POZO;CALLE;V;1;;;;;MADRID;MADRID;28053;1;ENTREVIAS;13;PUENTE DE VALLECAS;443905;4469263;40.372.062.320.145.700;-366.075.779.238.216;915 887 307;;cultupvallecas@madrid.es;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
2396;Auditorio al aire libre. Entrevías;Su mantenimiento es competencia de la Junta de Puente de Vallecas.   Actividades: espectáculos variados durante los meses de verano. Espacio con vallado perimetral y puerta de acceso.;;;Consulta los siguientes enlaces:;;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1fe27b503a71c010VgnVCM1000000b205a0aRCRD;SUR;RONDA;V;2;;;;;MADRID;MADRID;28053;1;ENTREVIAS;13;PUENTE DE VALLECAS;442304;4470116;4.037.963.903.974.850;-36.796.821.404.150.300;915 887 307;;cultupvallecas@madrid.es;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
122325;Auditorio al aire libre. Parque Aluche;Su mantenimiento es competencia de la Junta de Distrito Latina.  Actividades : espectáculos variados durante los meses de verano.;;;Metro de Madrid. Línea 5. Estación: Aluche.   Autobuses de la  EMT: líneas 25, 121 y 138.   Cercanías RENFE:. Línea C 5. Estación: Aluche.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD;ILLESCAS;CALLE;V;149;;;;;MADRID;MADRID;28047;4;ALUCHE;10;LATINA;435554;4471619;40.392.680.212.409.400;-37.593.572.957.930.500;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
10290753;Auditorio al aire libre. Parque Amós Acero;Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades: Espectáculos variados durante los meses de verano. Espacio abierto, acceso directo sin vallado.;;;Consulta los siguientes enlaces:;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0688a0701d0da510VgnVCM1000001d4a900aRCRD;SIERRA DE ALQUIFE;CALLE;V;20;;;;;MADRID;MADRID;28053;2;SAN DIEGO;13;PUENTE DE VALLECAS;443462;4471081;4.038.840.925.271.770;-3.666.129.894.495.810;915 887 307;;cultupvallecas@madrid.es;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
2393;Auditorio al aire libre. Parque Cerro Almodóvar;Su mantenimiento es competencia de la Junta de Distrito de Latina.  Actividades : espectáculos variados durante los meses de verano. Aforo máximo: 1200 espectadores.;;;Metro de Madrid. Línea 6. Estación: Carpetana.  Autobuses de la EMT: Líneas: 17, 25 y 500.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb437b503a71c010VgnVCM1000000b205a0aRCRD;MARCELINO CASTILLO;CALLE;V;29;;;;;MADRID;MADRID;28047;4;ALUCHE;10;LATINA;436800;4471778;4.039.420.802.732.140;-3.744.692.836.307.440;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
2399;Auditorio al aire libre. Parque de Canillejas;Su mantenimiento es competencia de la Junta de Distrito de San Blas - Canillejas.   Actividades: espectáculos variados durante los meses de verano.;;;Metro: Torre Arias (línea 5);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD;NECTAR;CALLE;V;32;;;;;MADRID;MADRID;28022;7;CANILLEJAS;20;SAN BLAS-CANILLEJAS;448169;4477063;40.442.611.374.955.200;-3.611.167.964.373.910;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
10724346;Auditorio al aire libre. Parque de la Cuña Verde de O´Donnell;Actividades: cine de verano y espectáculos musicales.;;;Consulta los siguientes enlaces.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35f0833f1eec3610VgnVCM1000001d4a900aRCRD;FUENTE CARRANTONA;CALLE;V;61;;;;;MADRID;MADRID;28030;3;MARROQUINA;14;MORATALAZ;446635;4473699;4.041.220.664.353.710;-3.628.972.354.235.780;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
2387;Auditorio al aire libre. Parque de la Vaguada;;;Templete de Música;Metro: Peña Grande (línea 7), Barrio del Pilar (línea 9) Bus: 49 , 67 , 83 , 124 , 128 , 132 , 133 , 137;Mantenimiento:Área de Gobierno de Medio Ambiente y Movilidad;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD;VAGUADA;PASEO;V;13;;;;Avenida de Betanzos con Paseo de la Vaguada;MADRID;MADRID;28029;4;EL PILAR;8;FUENCARRAL-EL PARDO;439712;4481297;4.048.016.602.497.200;-37.112.978.051.427.500;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
2394;Auditorio al aire libre. Parque de las Cruces;Su mantenimiento es competencia de la Junta de Distrito de Latina. Está situado junto al estanque del Parque. Ubicación exacta en Google Maps .  Actividades : espectáculos variados durante los meses de verano.;;;Metro de Madrid. Línea 5. Estación: Aluche. Autobuses de la EMT. Líneas: 47, 118, 121, 131, 155. Cercanías RENFE. Línea C 5. Estación: Aluche.;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93837b503a71c010VgnVCM1000000b205a0aRCRD;POBLADOS;AVENIDA;V;68;;;;;MADRID;MADRID;28044;7;LAS AGUILAS;10;LATINA;435534;4470597;40.383.472.075.956.100;-3.759.489.504.920.480;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
52514;Auditorio al aire libre. Parque de Olof Palme;Su mantenimiento es competencia de Medioambiente (Parques y Jardines).   Actividades: espectáculos variados durante los meses de verano.;;;Metro: Plaza Elíptica (líneas 6 y 11).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1185946be351c010VgnVCM2000000c205a0aRCRD;CERECINOS;CALLE;V;1;;;;;MADRID;MADRID;28026;6;ZOFIO;12;USERA;439527;4470701;40.384.714.506.176.000;-3.712.457.801.979.160;;;;/contenido/entidadesYorganismos/AuditoriosSalasConcierto
