PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;4;1;28079004_1_38;2024;01;2;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;5;V;6;V;6;V;5;V;3;V;2;V;3;V;3;V;3;V
28;079;4;1;28079004_1_38;2024;02;3;V;2;V;2;V;2;V;4;V;3;V;1;V;2;V;1;V;2;V;1;V;1;V;2;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;0;N;0;N
28;079;4;1;28079004_1_38;2024;03;2;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;3;V;3;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V;2;N;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2024;04;1;V;2;V;2;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;1;N;3;N;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;0;N
28;079;4;1;28079004_1_38;2024;05;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;1;V;1;V
28;079;4;1;28079004_1_38;2024;06;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;0;N
28;079;4;1;28079004_1_38;2024;07;1;V;1;V;1;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;2;V
28;079;4;1;28079004_1_38;2024;08;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V
28;079;4;6;28079004_6_48;2024;01;0.5;V;0.6;V;0.4;V;0.4;V;0.3;V;0.4;V;0.5;V;0.6;V;0.4;V;0.4;V;0.5;V;0.5;V;0.6;V;0.6;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.6;V;0.7;V;0.9;V;0.9;V;0.9;V;0.6;V;0.5;V;0.6;V;0.7;V;0.7;V
28;079;4;6;28079004_6_48;2024;02;0.6;V;0.5;V;0.5;V;0.5;V;0.7;V;0.6;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.3;V;0.4;V;0.5;V;0.5;V;0.4;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.5;V;0.5;V;0;N;0;N
